Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb,Actual,Hit
Victor Wembanyama,San Antonio Spurs,Oklahoma City Thunder,Points,25.5,-115,FanDuel,OVER,,33.0,1
Victor Wembanyama,San Antonio Spurs,Oklahoma City Thunder,Points,25.5,-119,DraftKings,OVER,,33.0,1
Victor Wembanyama,San Antonio Spurs,Oklahoma City Thunder,Points,25.5,-111,FanDuel,UNDER,,33.0,0
Victor Wembanyama,San Antonio Spurs,Oklahoma City Thunder,Points,25.5,-107,DraftKings,UNDER,,33.0,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,San Antonio Spurs,Points,29.5,-122,FanDuel,OVER,,19.0,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,San Antonio Spurs,Points,30.5,-106,DraftKings,OVER,,19.0,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,San Antonio Spurs,Points,29.5,-104,FanDuel,UNDER,,19.0,1
Shai Gilgeous-Alexander,Oklahoma City Thunder,San Antonio Spurs,Points,30.5,-120,DraftKings,UNDER,,19.0,1
De'Aaron Fox,San Antonio Spurs,Oklahoma City Thunder,Points,14.5,-128,FanDuel,OVER,,12.0,0
De'Aaron Fox,San Antonio Spurs,Oklahoma City Thunder,Points,15.5,-107,DraftKings,OVER,,12.0,0
De'Aaron Fox,San Antonio Spurs,Oklahoma City Thunder,Points,14.5,100,FanDuel,UNDER,,12.0,1
De'Aaron Fox,San Antonio Spurs,Oklahoma City Thunder,Points,15.5,-119,DraftKings,UNDER,,12.0,1
Alex Caruso,Oklahoma City Thunder,San Antonio Spurs,Points,10.5,-130,DraftKings,OVER,,0.0,0
Alex Caruso,Oklahoma City Thunder,San Antonio Spurs,Points,10.5,102,DraftKings,UNDER,,0.0,1
Devin Vassell,San Antonio Spurs,Oklahoma City Thunder,Points,14.5,-104,DraftKings,OVER,,13.0,0
Devin Vassell,San Antonio Spurs,Oklahoma City Thunder,Points,14.5,-123,DraftKings,UNDER,,13.0,1
Cason Wallace,Oklahoma City Thunder,San Antonio Spurs,Points,9.5,101,DraftKings,OVER,,5.0,0
Cason Wallace,Oklahoma City Thunder,San Antonio Spurs,Points,9.5,-128,DraftKings,UNDER,,5.0,1
Isaiah Joe,Oklahoma City Thunder,San Antonio Spurs,Points,4.5,-136,DraftKings,OVER,,11.0,1
Isaiah Joe,Oklahoma City Thunder,San Antonio Spurs,Points,4.5,106,DraftKings,UNDER,,11.0,0
Chet Holmgren,Oklahoma City Thunder,San Antonio Spurs,Points,13.5,-115,FanDuel,OVER,,10.0,0
Chet Holmgren,Oklahoma City Thunder,San Antonio Spurs,Points,13.5,-112,DraftKings,OVER,,10.0,0
Chet Holmgren,Oklahoma City Thunder,San Antonio Spurs,Points,13.5,-111,FanDuel,UNDER,,10.0,1
Chet Holmgren,Oklahoma City Thunder,San Antonio Spurs,Points,13.5,-114,DraftKings,UNDER,,10.0,1
Jalen Williams,Oklahoma City Thunder,San Antonio Spurs,Points,13.5,-120,FanDuel,OVER,,,
Jalen Williams,Oklahoma City Thunder,San Antonio Spurs,Points,13.5,-116,DraftKings,OVER,,,
Jalen Williams,Oklahoma City Thunder,San Antonio Spurs,Points,13.5,-106,FanDuel,UNDER,,,
Jalen Williams,Oklahoma City Thunder,San Antonio Spurs,Points,13.5,-110,DraftKings,UNDER,,,
Dylan Harper,San Antonio Spurs,Oklahoma City Thunder,Points,9.5,-110,DraftKings,OVER,,7.0,0
Dylan Harper,San Antonio Spurs,Oklahoma City Thunder,Points,9.5,-115,DraftKings,UNDER,,7.0,1
Jared McCain,Oklahoma City Thunder,San Antonio Spurs,Rebounds,2.5,-169,DraftKings,OVER,,2.0,0
Jared McCain,Oklahoma City Thunder,San Antonio Spurs,Rebounds,2.5,128,DraftKings,UNDER,,2.0,1
Jalen Williams,Oklahoma City Thunder,San Antonio Spurs,Rebounds,3.5,-122,FanDuel,OVER,,,
Jalen Williams,Oklahoma City Thunder,San Antonio Spurs,Rebounds,3.5,-125,DraftKings,OVER,,,
Jalen Williams,Oklahoma City Thunder,San Antonio Spurs,Rebounds,3.5,-104,FanDuel,UNDER,,,
Jalen Williams,Oklahoma City Thunder,San Antonio Spurs,Rebounds,3.5,-105,DraftKings,UNDER,,,
Luguentz Dort,Oklahoma City Thunder,San Antonio Spurs,Rebounds,2.5,-171,DraftKings,OVER,,4.0,1
Luguentz Dort,Oklahoma City Thunder,San Antonio Spurs,Rebounds,2.5,129,DraftKings,UNDER,,4.0,0
Victor Wembanyama,San Antonio Spurs,Oklahoma City Thunder,Rebounds,13.5,-118,FanDuel,OVER,,8.0,0
Victor Wembanyama,San Antonio Spurs,Oklahoma City Thunder,Rebounds,13.5,-119,DraftKings,OVER,,8.0,0
Victor Wembanyama,San Antonio Spurs,Oklahoma City Thunder,Rebounds,13.5,-108,FanDuel,UNDER,,8.0,1
Victor Wembanyama,San Antonio Spurs,Oklahoma City Thunder,Rebounds,13.5,-111,DraftKings,UNDER,,8.0,1
Julian Champagnie,San Antonio Spurs,Oklahoma City Thunder,Rebounds,5.5,-137,DraftKings,OVER,,4.0,0
Julian Champagnie,San Antonio Spurs,Oklahoma City Thunder,Rebounds,5.5,104,DraftKings,UNDER,,4.0,1
