Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb,Actual,Hit
Ajay Mitchell,Oklahoma City Thunder,Los Angeles Lakers,Points,16.5,-108,FanDuel,OVER,,24.0,1
Ajay Mitchell,Oklahoma City Thunder,Los Angeles Lakers,Points,16.5,-106,DraftKings,OVER,,24.0,1
Ajay Mitchell,Oklahoma City Thunder,Los Angeles Lakers,Points,16.5,-112,BetMGM,OVER,,24.0,1
Ajay Mitchell,Oklahoma City Thunder,Los Angeles Lakers,Points,16.5,-118,FanDuel,UNDER,,24.0,0
Ajay Mitchell,Oklahoma City Thunder,Los Angeles Lakers,Points,16.5,-120,DraftKings,UNDER,,24.0,0
Ajay Mitchell,Oklahoma City Thunder,Los Angeles Lakers,Points,16.5,-122,BetMGM,UNDER,,24.0,0
Jared McCain,Oklahoma City Thunder,Los Angeles Lakers,Points,6.5,-101,DraftKings,OVER,,3.0,0
Jared McCain,Oklahoma City Thunder,Los Angeles Lakers,Points,5.5,-165,BetMGM,OVER,,3.0,0
Jared McCain,Oklahoma City Thunder,Los Angeles Lakers,Points,6.5,-126,DraftKings,UNDER,,3.0,1
Jared McCain,Oklahoma City Thunder,Los Angeles Lakers,Points,5.5,118,BetMGM,UNDER,,3.0,1
Chet Holmgren,Oklahoma City Thunder,Los Angeles Lakers,Points,16.5,-122,FanDuel,OVER,,18.0,1
Chet Holmgren,Oklahoma City Thunder,Los Angeles Lakers,Points,16.5,-127,DraftKings,OVER,,18.0,1
Chet Holmgren,Oklahoma City Thunder,Los Angeles Lakers,Points,16.5,-115,BetMGM,OVER,,18.0,1
Chet Holmgren,Oklahoma City Thunder,Los Angeles Lakers,Points,16.5,-104,FanDuel,UNDER,,18.0,0
Chet Holmgren,Oklahoma City Thunder,Los Angeles Lakers,Points,16.5,100,DraftKings,UNDER,,18.0,0
Chet Holmgren,Oklahoma City Thunder,Los Angeles Lakers,Points,16.5,-118,BetMGM,UNDER,,18.0,0
Luguentz Dort,Oklahoma City Thunder,Los Angeles Lakers,Points,6.5,-113,DraftKings,OVER,,10.0,1
Luguentz Dort,Oklahoma City Thunder,Los Angeles Lakers,Points,6.5,-120,BetMGM,OVER,,10.0,1
Luguentz Dort,Oklahoma City Thunder,Los Angeles Lakers,Points,6.5,-113,DraftKings,UNDER,,10.0,0
Luguentz Dort,Oklahoma City Thunder,Los Angeles Lakers,Points,6.5,-114,BetMGM,UNDER,,10.0,0
Jaxson Hayes,Los Angeles Lakers,Oklahoma City Thunder,Points,4.5,-118,DraftKings,OVER,,1.0,0
Jaxson Hayes,Los Angeles Lakers,Oklahoma City Thunder,Points,4.5,-108,DraftKings,UNDER,,1.0,1
Shai Gilgeous-Alexander,Oklahoma City Thunder,Los Angeles Lakers,Points,29.5,100,FanDuel,OVER,,23.0,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,Los Angeles Lakers,Points,29.5,-104,DraftKings,OVER,,23.0,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,Los Angeles Lakers,Points,29.5,-117,BetMGM,OVER,,23.0,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,Los Angeles Lakers,Points,29.5,-128,FanDuel,UNDER,,23.0,1
Shai Gilgeous-Alexander,Oklahoma City Thunder,Los Angeles Lakers,Points,29.5,-122,DraftKings,UNDER,,23.0,1
Shai Gilgeous-Alexander,Oklahoma City Thunder,Los Angeles Lakers,Points,29.5,-117,BetMGM,UNDER,,23.0,1
Luke Kennard,Los Angeles Lakers,Oklahoma City Thunder,Points,7.5,-135,DraftKings,OVER,,18.0,1
Luke Kennard,Los Angeles Lakers,Oklahoma City Thunder,Points,8.5,-121,BetMGM,OVER,,18.0,1
Luke Kennard,Los Angeles Lakers,Oklahoma City Thunder,Points,7.5,105,DraftKings,UNDER,,18.0,0
Luke Kennard,Los Angeles Lakers,Oklahoma City Thunder,Points,8.5,-113,BetMGM,UNDER,,18.0,0
LeBron James,Los Angeles Lakers,Oklahoma City Thunder,Points,22.5,100,FanDuel,OVER,,19.0,0
LeBron James,Los Angeles Lakers,Oklahoma City Thunder,Points,22.5,-122,DraftKings,OVER,,19.0,0
LeBron James,Los Angeles Lakers,Oklahoma City Thunder,Points,22.5,-105,BetMGM,OVER,,19.0,0
