Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb,Actual,Hit
Daniss Jenkins,Detroit Pistons,Cleveland Cavaliers,Points,11.5,-118,DraftKings,OVER,,17.0,1
Daniss Jenkins,Detroit Pistons,Cleveland Cavaliers,Points,11.5,-108,DraftKings,UNDER,,17.0,0
Duncan Robinson,Detroit Pistons,Cleveland Cavaliers,Points,7.5,-133,DraftKings,OVER,,13.0,1
Duncan Robinson,Detroit Pistons,Cleveland Cavaliers,Points,7.5,104,DraftKings,UNDER,,13.0,0
Evan Mobley,Cleveland Cavaliers,Detroit Pistons,Points,15.5,-115,FanDuel,OVER,,21.0,1
Evan Mobley,Cleveland Cavaliers,Detroit Pistons,Points,15.5,-108,DraftKings,OVER,,21.0,1
Evan Mobley,Cleveland Cavaliers,Detroit Pistons,Points,15.5,-111,FanDuel,UNDER,,21.0,0
Evan Mobley,Cleveland Cavaliers,Detroit Pistons,Points,15.5,-118,DraftKings,UNDER,,21.0,0
Max Strus,Cleveland Cavaliers,Detroit Pistons,Points,10.5,-102,DraftKings,OVER,,9.0,0
Max Strus,Cleveland Cavaliers,Detroit Pistons,Points,10.5,-125,DraftKings,UNDER,,9.0,1
Caris LeVert,Detroit Pistons,Cleveland Cavaliers,Points,6.5,-113,DraftKings,OVER,,11.0,1
Caris LeVert,Detroit Pistons,Cleveland Cavaliers,Points,6.5,-113,DraftKings,UNDER,,11.0,0
Jarrett Allen,Cleveland Cavaliers,Detroit Pistons,Points,11.5,-122,DraftKings,OVER,,23.0,1
Jarrett Allen,Cleveland Cavaliers,Detroit Pistons,Points,11.5,-105,DraftKings,UNDER,,23.0,0
Sam Merrill,Cleveland Cavaliers,Detroit Pistons,Points,5.5,-135,DraftKings,OVER,,23.0,1
Sam Merrill,Cleveland Cavaliers,Detroit Pistons,Points,5.5,106,DraftKings,UNDER,,23.0,0
Dean Wade,Cleveland Cavaliers,Detroit Pistons,Points,2.5,-127,DraftKings,OVER,,5.0,1
Dean Wade,Cleveland Cavaliers,Detroit Pistons,Points,2.5,100,DraftKings,UNDER,,5.0,0
Ausar Thompson,Detroit Pistons,Cleveland Cavaliers,Points,8.5,-106,FanDuel,OVER,,5.0,0
Ausar Thompson,Detroit Pistons,Cleveland Cavaliers,Points,8.5,-112,DraftKings,OVER,,5.0,0
Ausar Thompson,Detroit Pistons,Cleveland Cavaliers,Points,8.5,-120,FanDuel,UNDER,,5.0,1
Ausar Thompson,Detroit Pistons,Cleveland Cavaliers,Points,8.5,-114,DraftKings,UNDER,,5.0,1
Dennis Schroder,Cleveland Cavaliers,Detroit Pistons,Points,5.5,103,DraftKings,OVER,,,
Dennis Schroder,Cleveland Cavaliers,Detroit Pistons,Points,5.5,-131,DraftKings,UNDER,,,
