Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb,Actual,Hit
Isaiah Hartenstein,Oklahoma City Thunder,San Antonio Spurs,Points,8.5,-115,DraftKings,OVER,,7.0,0
Isaiah Hartenstein,Oklahoma City Thunder,San Antonio Spurs,Points,8.5,-111,DraftKings,UNDER,,7.0,1
Dylan Harper,San Antonio Spurs,Oklahoma City Thunder,Points,10.5,-101,DraftKings,OVER,,12.0,1
Dylan Harper,San Antonio Spurs,Oklahoma City Thunder,Points,10.5,-127,DraftKings,UNDER,,12.0,0
Cason Wallace,Oklahoma City Thunder,San Antonio Spurs,Points,9.5,-102,DraftKings,OVER,,17.0,1
Cason Wallace,Oklahoma City Thunder,San Antonio Spurs,Points,9.5,-125,DraftKings,UNDER,,17.0,0
Alex Caruso,Oklahoma City Thunder,San Antonio Spurs,Points,11.5,-102,DraftKings,OVER,,12.0,1
Alex Caruso,Oklahoma City Thunder,San Antonio Spurs,Points,11.5,-125,DraftKings,UNDER,,12.0,0
Keldon Johnson,San Antonio Spurs,Oklahoma City Thunder,Points,7.5,-101,DraftKings,OVER,,11.0,1
Keldon Johnson,San Antonio Spurs,Oklahoma City Thunder,Points,7.5,-127,DraftKings,UNDER,,11.0,0
Julian Champagnie,San Antonio Spurs,Oklahoma City Thunder,Points,9.5,-109,DraftKings,OVER,,20.0,1
Julian Champagnie,San Antonio Spurs,Oklahoma City Thunder,Points,9.5,-117,DraftKings,UNDER,,20.0,0
Jaylin Williams,Oklahoma City Thunder,San Antonio Spurs,Points,5.5,-107,DraftKings,OVER,,11.0,1
Jaylin Williams,Oklahoma City Thunder,San Antonio Spurs,Points,5.5,-119,DraftKings,UNDER,,11.0,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,San Antonio Spurs,Points,30.5,-114,DraftKings,OVER,,35.0,1
Shai Gilgeous-Alexander,Oklahoma City Thunder,San Antonio Spurs,Points,30.5,-125,FanDuel,OVER,,35.0,1
Shai Gilgeous-Alexander,Oklahoma City Thunder,San Antonio Spurs,Points,30.5,-112,DraftKings,UNDER,,35.0,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,San Antonio Spurs,Points,30.5,-102,FanDuel,UNDER,,35.0,0
Luke Kornet,San Antonio Spurs,Oklahoma City Thunder,Points,1.5,-149,DraftKings,OVER,,2.0,1
Luke Kornet,San Antonio Spurs,Oklahoma City Thunder,Points,1.5,117,DraftKings,UNDER,,2.0,0
Carter Bryant,San Antonio Spurs,Oklahoma City Thunder,Points,1.5,-137,DraftKings,OVER,,2.0,1
Carter Bryant,San Antonio Spurs,Oklahoma City Thunder,Points,1.5,108,DraftKings,UNDER,,2.0,0
Jalen Williams,Oklahoma City Thunder,San Antonio Spurs,Rebounds,2.5,101,DraftKings,OVER,,,
Jalen Williams,Oklahoma City Thunder,San Antonio Spurs,Rebounds,2.5,-102,FanDuel,OVER,,,
Jalen Williams,Oklahoma City Thunder,San Antonio Spurs,Rebounds,2.5,-133,DraftKings,UNDER,,,
Jalen Williams,Oklahoma City Thunder,San Antonio Spurs,Rebounds,2.5,-130,FanDuel,UNDER,,,
Alex Caruso,Oklahoma City Thunder,San Antonio Spurs,Rebounds,3.5,-104,DraftKings,OVER,,5.0,1
Alex Caruso,Oklahoma City Thunder,San Antonio Spurs,Rebounds,3.5,-126,DraftKings,UNDER,,5.0,0
Chet Holmgren,Oklahoma City Thunder,San Antonio Spurs,Rebounds,8.5,106,DraftKings,OVER,,4.0,0
Chet Holmgren,Oklahoma City Thunder,San Antonio Spurs,Rebounds,8.5,-102,FanDuel,OVER,,4.0,0
Chet Holmgren,Oklahoma City Thunder,San Antonio Spurs,Rebounds,8.5,-140,DraftKings,UNDER,,4.0,1
Chet Holmgren,Oklahoma City Thunder,San Antonio Spurs,Rebounds,8.5,-125,FanDuel,UNDER,,4.0,1
Luke Kornet,San Antonio Spurs,Oklahoma City Thunder,Rebounds,2.5,117,DraftKings,OVER,,4.0,1
Luke Kornet,San Antonio Spurs,Oklahoma City Thunder,Rebounds,2.5,-155,DraftKings,UNDER,,4.0,0
Jared McCain,Oklahoma City Thunder,San Antonio Spurs,Rebounds,2.5,-153,DraftKings,OVER,,1.0,0
Jared McCain,Oklahoma City Thunder,San Antonio Spurs,Rebounds,2.5,116,DraftKings,UNDER,,1.0,1
Keldon Johnson,San Antonio Spurs,Oklahoma City Thunder,Rebounds,2.5,-133,DraftKings,OVER,,3.0,1
Keldon Johnson,San Antonio Spurs,Oklahoma City Thunder,Rebounds,2.5,101,DraftKings,UNDER,,3.0,0
De'Aaron Fox,San Antonio Spurs,Oklahoma City Thunder,Rebounds,4.5,117,DraftKings,OVER,,0.0,0
De'Aaron Fox,San Antonio Spurs,Oklahoma City Thunder,Rebounds,4.5,114,FanDuel,OVER,,0.0,0
De'Aaron Fox,San Antonio Spurs,Oklahoma City Thunder,Rebounds,4.5,-154,DraftKings,UNDER,,0.0,1
De'Aaron Fox,San Antonio Spurs,Oklahoma City Thunder,Rebounds,4.5,-146,FanDuel,UNDER,,0.0,1
Victor Wembanyama,San Antonio Spurs,Oklahoma City Thunder,Rebounds,12.5,-128,DraftKings,OVER,,7.0,0
Victor Wembanyama,San Antonio Spurs,Oklahoma City Thunder,Rebounds,12.5,-125,FanDuel,OVER,,7.0,0
Victor Wembanyama,San Antonio Spurs,Oklahoma City Thunder,Rebounds,12.5,-103,DraftKings,UNDER,,7.0,1
Victor Wembanyama,San Antonio Spurs,Oklahoma City Thunder,Rebounds,12.5,-102,FanDuel,UNDER,,7.0,1
Shai Gilgeous-Alexander,Oklahoma City Thunder,San Antonio Spurs,Rebounds,3.5,-138,DraftKings,OVER,,4.0,1
Shai Gilgeous-Alexander,Oklahoma City Thunder,San Antonio Spurs,Rebounds,3.5,-140,FanDuel,OVER,,4.0,1
Shai Gilgeous-Alexander,Oklahoma City Thunder,San Antonio Spurs,Rebounds,3.5,105,DraftKings,UNDER,,4.0,0
Shai Gilgeous-Alexander,Oklahoma City Thunder,San Antonio Spurs,Rebounds,3.5,110,FanDuel,UNDER,,4.0,0
Cason Wallace,Oklahoma City Thunder,San Antonio Spurs,Rebounds,3.5,-119,DraftKings,OVER,,7.0,1
Cason Wallace,Oklahoma City Thunder,San Antonio Spurs,Rebounds,3.5,-110,DraftKings,UNDER,,7.0,0
Kenrich Williams,Oklahoma City Thunder,San Antonio Spurs,Assists,0.5,-101,DraftKings,OVER,,0.0,0
Kenrich Williams,Oklahoma City Thunder,San Antonio Spurs,Assists,0.5,-131,DraftKings,UNDER,,0.0,1
Jaylin Williams,Oklahoma City Thunder,San Antonio Spurs,Assists,1.5,-107,DraftKings,OVER,,4.0,1
Jaylin Williams,Oklahoma City Thunder,San Antonio Spurs,Assists,1.5,-123,DraftKings,UNDER,,4.0,0
Jalen Williams,Oklahoma City Thunder,San Antonio Spurs,Assists,2.5,109,DraftKings,OVER,,,
Jalen Williams,Oklahoma City Thunder,San Antonio Spurs,Assists,2.5,100,FanDuel,OVER,,,
Jalen Williams,Oklahoma City Thunder,San Antonio Spurs,Assists,2.5,-144,DraftKings,UNDER,,,
Jalen Williams,Oklahoma City Thunder,San Antonio Spurs,Assists,2.5,-132,FanDuel,UNDER,,,
Chet Holmgren,Oklahoma City Thunder,San Antonio Spurs,Assists,1.5,164,DraftKings,OVER,,0.0,0
Chet Holmgren,Oklahoma City Thunder,San Antonio Spurs,Assists,1.5,140,FanDuel,OVER,,0.0,0
Chet Holmgren,Oklahoma City Thunder,San Antonio Spurs,Assists,1.5,-219,DraftKings,UNDER,,0.0,1
Chet Holmgren,Oklahoma City Thunder,San Antonio Spurs,Assists,1.5,-180,FanDuel,UNDER,,0.0,1
De'Aaron Fox,San Antonio Spurs,Oklahoma City Thunder,Assists,5.5,-136,DraftKings,OVER,,5.0,0
