Player,Team,Opponent,PropType,Line,Odds,Sportsbook,Direction,ModelProb,Actual,Hit
Luguentz Dort,Oklahoma City Thunder,Los Angeles Lakers,Points,6.5,109,DraftKings,OVER,,6.0,0
Luguentz Dort,Oklahoma City Thunder,Los Angeles Lakers,Points,6.5,-139,DraftKings,UNDER,,6.0,1
Marcus Smart,Los Angeles Lakers,Oklahoma City Thunder,Points,10.5,-120,DraftKings,OVER,,5.0,0
Marcus Smart,Los Angeles Lakers,Oklahoma City Thunder,Points,10.5,-106,DraftKings,UNDER,,5.0,1
Isaiah Joe,Oklahoma City Thunder,Los Angeles Lakers,Points,5.5,-125,DraftKings,OVER,,0.0,0
Isaiah Joe,Oklahoma City Thunder,Los Angeles Lakers,Points,5.5,-102,DraftKings,UNDER,,0.0,1
Rui Hachimura,Los Angeles Lakers,Oklahoma City Thunder,Points,14.5,-106,DraftKings,OVER,,25.0,1
Rui Hachimura,Los Angeles Lakers,Oklahoma City Thunder,Points,14.5,-120,DraftKings,UNDER,,25.0,0
Ajay Mitchell,Oklahoma City Thunder,Los Angeles Lakers,Points,17.5,106,FanDuel,OVER,,28.0,1
Ajay Mitchell,Oklahoma City Thunder,Los Angeles Lakers,Points,17.5,-108,DraftKings,OVER,,28.0,1
Ajay Mitchell,Oklahoma City Thunder,Los Angeles Lakers,Points,17.5,-136,FanDuel,UNDER,,28.0,0
Ajay Mitchell,Oklahoma City Thunder,Los Angeles Lakers,Points,17.5,-118,DraftKings,UNDER,,28.0,0
Deandre Ayton,Los Angeles Lakers,Oklahoma City Thunder,Points,8.5,-115,FanDuel,OVER,,6.0,0
Deandre Ayton,Los Angeles Lakers,Oklahoma City Thunder,Points,9.5,-102,DraftKings,OVER,,6.0,0
Deandre Ayton,Los Angeles Lakers,Oklahoma City Thunder,Points,8.5,-111,FanDuel,UNDER,,6.0,1
Deandre Ayton,Los Angeles Lakers,Oklahoma City Thunder,Points,9.5,-125,DraftKings,UNDER,,6.0,1
Chet Holmgren,Oklahoma City Thunder,Los Angeles Lakers,Points,17.5,-106,FanDuel,OVER,,16.0,0
Chet Holmgren,Oklahoma City Thunder,Los Angeles Lakers,Points,17.5,-103,DraftKings,OVER,,16.0,0
Chet Holmgren,Oklahoma City Thunder,Los Angeles Lakers,Points,17.5,-120,FanDuel,UNDER,,16.0,1
Chet Holmgren,Oklahoma City Thunder,Los Angeles Lakers,Points,17.5,-124,DraftKings,UNDER,,16.0,1
Jaxson Hayes,Los Angeles Lakers,Oklahoma City Thunder,Points,3.5,-126,DraftKings,OVER,,18.0,1
Jaxson Hayes,Los Angeles Lakers,Oklahoma City Thunder,Points,3.5,-101,DraftKings,UNDER,,18.0,0
Cason Wallace,Oklahoma City Thunder,Los Angeles Lakers,Points,7.5,105,DraftKings,OVER,,3.0,0
Cason Wallace,Oklahoma City Thunder,Los Angeles Lakers,Points,7.5,-133,DraftKings,UNDER,,3.0,1
Alex Caruso,Oklahoma City Thunder,Los Angeles Lakers,Points,6.5,-125,DraftKings,OVER,,9.0,1
Alex Caruso,Oklahoma City Thunder,Los Angeles Lakers,Points,6.5,-102,DraftKings,UNDER,,9.0,0
